you,あなた
i,私
the,の
to,に
a,1
‘s,の
it,それ
and,そして
that,それ
‘t,'t
of,の
is,は
in,で
what,何
we,私たちは
me,自分
this,これ
he,彼
for,のために
my,私の
on,の上
have,持っている
your,あなたの
do,する
was,だった
‘m,'m
no,いいえ
not,ない
be,なれ
are,は
don,ドン
‘re,「
know,知る
can,できる
with,と
but,しかし
all,全て
so,それで
just,ただ
there,そこには
here,ここ
they,彼らは
like,のように
‘ll,'ll
get,得る
she,彼女
go,行く
if,もし
right,右
out,外
about,について
up,上
at,で
him,彼
now,今
oh,おお
one,1つ
come,来る
well,良い
her,彼女
how,どうやって
yeah,うん
‘ve,「
will,意思
got,手に入れた
want,欲しい
think,考える
as,として
see,見る
did,した
good,良い
who,誰が
why,なぜ
from,から
let,させて
his,彼の
yes,はい
when,いつ
going,行く
time,時間
an,1
okay,わかった
back,戻る
look,見て
us,私たち
would,だろう
them,彼ら
where,どこ
were,だった
take,取る
then,それから
had,持っていた
or,または
been,された
our,私たちの
gonna,行く
tell,教えて
really,本当に
man,男
some,いくつかの
say,言う
hey,おい
could,できた
‘d,'d
didn,しなかった
by,による
need,必要
something,何か
has,もっている
too,あまりにも
more,もっと
way,方法
down,下
make,作る
very,とても
never,一度もない
only,のみ
people,人々
over,以上
because,なぜなら
little,少し
please,お願いします
love,愛
should,すべき
mean,平均
said,言った
sorry,ごめん
give,与える
off,オフ
am,午前
thank,感謝
any,どれでも
two,二
even,平
much,多くの
doing,行う
sure,もちろん
thing,もの
these,これら
help,ヘルプ
first,初め
into,の中へ
anything,何でも
still,まだ
find,探す
life,人生
nothing,何もない
sir,お客様
day,日
god,神
work,仕事
their,彼らの
uh,えーと
again,また
maybe,多分
must,しなければならない
before,前に
other,他の
wait,待って
stop,停止
call,電話
after,後
won,勝利した
talk,話す
away,離れて
than,よりも
thought,考え
home,家
night,夜
put,置く
great,素晴らしい
those,それらの
last,最後
better,より良い
everything,すべて
told,言った
mr.,氏。
new,新しい
things,もの
always,いつも
keep,保つ
long,長さ
years,年
leave,離れる
does,する
money,お金
around,その周り
doesn,しない
name,名前
